Username,Comment,vader_sentiment
@jannatarthy6378,"9 October 2024, I am totally obsessed with this song ",0
@AmdadulHoque-k3z,"""I lose control"" ufff this lineeee",0
@Boddusattibabu-ku6ig,No matter what the lyrics was but the music hits and it never gets old,0
@rodelaraisaprionti6798,"Let it be, let it be, let it be
Let it V, let it V, let it V
Hold on don't go
Hold on Jungkook
Touching and teasing me
Touch Jimin and tease Jimin
Can't unhear it",0
@jahanaramoni1049,Obsessed with it!,0
@armyandblink264,Obsessed with this song ,0
@lifewithmommy8936,It doesn't  matter how may years or months have passed this never gets old ️🪷🪷,0
@asp11177,I was in school when this song released … Jay Sean was a rage in India … ,0
@kavitabharti1946,"Those who heard 

Let it V, Let it V,Let it V know
""Hold on Jungkook 
Touch Jimin,Teasing me 
Scaring me tho"" 

Whole maknae line is giving us heartattack ️",0
@MM61379,"Is it just me or the music/melody is actually emotional, heartbreaking, painful  can't help myself from crying",0
@Jeonlovv,"""Touch jimin and tease jimin """,0
@SangeetaKumari-tb7fu,This song never get old I love this song soo much ,0
@flawlesserror3582,"Literally I had to check the lyrics of that part again ! ""Hold On Jungkook "" damn ",0
@aishahhhhhh,MALAYALIS anyonee ??!! this shit hits hard,0
@Michellefrenlish,"It's been about a month and 20 days
And we're going round and round just playing silly games
Now you're saying, slow it down, not right now
Then ya wink at me and walk away
Let it be, let it be, let it be known
Hold on, don't go
Touching and teasing me, telling me no
But this time, I need to feel you
we're all alone
(Ride it) just lose control
(Ride it, ride it) touch my soul
(Ride it, ride it) let me feel you
(Ride it) turn the lights down low
(Ride it) from head to toe
(Ride it, ride it) touch my soul
(Ride it, ride it) let me feel you
Movida was the club on the Saturday
Ya actin' like a diva sayin' you don't wanna pay
It's gotta be ya fiesty style, raised eyebrow
I love it when you look at me that way
Now we're in, you order a Mojito at the bar
You re-apply lippy 'cause it came off on the glass
The DJ plays your favorite song, Kanye's on
Now ya beckoning for me to dance
Pullin' me, pullin' me, pullin' me close
Just close your eyes girl
Whispering, tellin' me, ""We gotta go""
Won't you take me home, I want to
we're all alone
(Ride it) just lose control
(Ride it, ride it) touch my soul
(Ride it ride it) let me feel you
(Ride it) turn the lights down low
(Ride it) from head to toe
(Ride it, ride it) touch my soul
(Ride it, ride it) let me feel you
Everything was right until her phone began to ring
She takes it to the corner, that's when I start wondering
I can hear her shouting, banging fists against the door
Yelling ""Yo, it's over, I can't take it any more""
Then I walk away and act all nonchalant and chill
I ain't tryna get all caught up in her mess for real
But she came on out and backed me up against the wall
She said, ""I know you heard but I'll make you forget it all""
Baby, let me feel you
(Ride it) we're all alone
(Ride it) just lose control
(Ride it, ride it) touch my soul
(Ride it ride it) let me feel you
(Ride it) turn the lights down low
(Ride it) from head to toe
(Ride it, ride it) touch my soul
(Ride it, ride it) let me feel you",0
@anonymjoker7012,Oh no Jungkook ,0
@Money_Aus7,"Let it V let it V let it V know
Hold on jungkook 
Touch jimin, teasing me. 

I just can't unhear it",0
@meetparmar6869,2:25 this music hits hard though ,0
@armyblink-o6c,"What I hear this song! 
Hold on, don't goHold on Jungkook️
Touching and Teasing me, telling me noTouching Jimin,telling me no️
But this time I need to feel youBut this time,Min Yoongi️
Can you hear that!",0
@vishhh_777,"Me the one who  obsessed with this song because of ""hold on jungkook"" ",0
@sugar5176,"""let it v""
""Let it v""
""Let it v""
""Hold on jungkook""
""Touch jimin teasing me"" can't unhear it ",0
@AnjaliPandey-fk4qm,This song is killing my ,0
@Noah_pandas112,"Ride it, we're all alone
Ride it, just lose control
Ride it, ride it, come touch my soul
Ride it, ride it, let me feel you
Ride it, turn the lights down low
Ride it, from head to toe
Ride it, ride it, touch my soul
Ride it, ride it, let me feel you",0
@maryprasanna5745,"for the people who wanna song along ️

Let me feel you
It's been about a month and 20 days
And we're goin' 'round and 'round, playin' silly games
Now you're sayin', ""Slow it down, not right now""
Then you wink at me and walk away
But let it be, let it be, let it be known
Hold on, don't go
Touchin' and teasin' me, tellin' me no
But this time I need to feel you
we're all alone
(Ride it) just lose control
(Ride it, ride it) come touch my soul
(Ride it, ride it) let me feel you
(Ride it) turn the lights down low
(Ride it) from head to toe
(Ride it, ride it) come touch my soul
(Ride it, ride it) let me feel you
Movida was the club on the Saturday
You're actin' like a diva, sayin' you don't wanna pay
It's gotta be ya feisty style, raised eyebrow
I love it when you look at me that way
Now we're in, you order a mojito at the bar
Reapply ya lippy 'cause it came off on the glass
The DJ plays your favourite song, Kanye's on
Now ya beckonin' for me to dance
Mmm, pullin' me, pullin' me, pullin' me close
(Then you close your eyes) and you close your eyes, girl
Whisperin', tellin' me we gotta go
Won't you take me home? I wanna
Ride it, we're all alone
(Ride it) just lose control
(Ride it, ride it) come touch my soul
(Ride it, ride it) ooh, baby, let me feel you
(Ride it) turn the lights down low
(Ride it) from head to toe
(Ride it, ride it) come touch my soul
(Ride it, ride it) let me feel you
Everything was right until her phone began to ring
She takes it to the corner, that's when I start wondering
I can hear her shouting, banging fists against the door
Yelling, ""Yo, it's over, I can't take it anymore""
Then I walk away and act all nonchalant and chill
I ain't tryna get all caught up in her mess, for real
But she came on out and backed me up against the wall
She said, ""I know you heard, but I'll make you forget it all""
Baby, let me feel you
(Ride it) we're all alone (ooh)
(Ride it) just lose control (lose control)
(Ride it, ride it) come touch my soul (come touch my soul)
(Ride it, ride it) let me feel you (let me feel you)
(Ride it) turn the lights down low (turn the lights down low)
(Ride it) from head to toe (from head to toe)
(Ride it, ride it) come touch my soul (oh)
(Ride it, ride it) let me feel you",0
@ijazahmed2864,"""OH NO JUNGKOOK""
did someone heard it or it's just only me?",0
@bilalsaifee6795,"hold on don't go = hold on jungkook , go namjoon no",0
@jotbts,it means i am not innocent anymore ,0
@xvane51214,"Let it V, let it V, let it V (no) 
Hold on Jungkook
Touch Jimin, teasing me",0
@cebanmadalina8292,"It's been about a month and 20 days
And we're going round and round just playing silly games
Now you're saying, slow it down, not right now
Then ya wink at me and walk away
Let it be, let it be, let it be known
Hold on, don't go
Touching and teasing me, telling me no
But this time, I need to feel you
we're all alone
(Ride it) just lose control
(Ride it, ride it) touch my soul
(Ride it, ride it) let me feel you
(Ride it) turn the lights down low
(Ride it) from head to toe
(Ride it, ride it) touch my soul
(Ride it, ride it) let me feel you
Movida was the club on the Saturday
Ya actin' like a diva sayin' you don't wanna pay
It's gotta be ya fiesty style, raised eyebrow
I love it when you look at me that way
Now we're in, you order a Mojito at the bar
You re-apply lippy 'cause it came off on the glass
The DJ plays your favorite song, Kanye's on
Now ya beckoning for me to dance
Pullin' me, pullin' me, pullin' me close
Just close your eyes girl
Whispering, tellin' me, ""We gotta go""
Won't you take me home, I want to
we're all alone
(Ride it) just lose control
(Ride it, ride it) touch my soul
(Ride it ride it) let me feel you
(Ride it) turn the lights down low
(Ride it) from head to toe
(Ride it, ride it) touch my soul
(Ride it, ride it) let me feel you
Everything was right until her phone began to ring
She takes it to the corner, that's when I start wondering
I can hear her shouting, banging fists against the door
Yelling ""Yo, it's over, I can't take it any more""
Then I walk away and act all nonchalant and chill
I ain't tryna get all caught up in her mess for real
But she came on out and backed me up against the wall
She said, ""I know you heard but I'll make you forget it all""
Baby, let me feel you
(Ride it) we're all alone
(Ride it) just lose control
(Ride it, ride it) touch my soul
(Ride it ride it) let me feel you
(Ride it) turn the lights down low
(Ride it) from head to toe
(Ride it, ride it) touch my soul
(Ride it, ride it) let me feel you",0
@wowmishere,"""Oh no Jungkook""",0
@deepathapa5682,Such I heard oh no jungkook,0
@bubsvsf,2:18 was low-key scary-,0
@adalatyadav4344,Dude i am trying so hard this song is really hard to sing in few trials,0
@SajaniNidushika,This song is killed my feelings,0
@Sabamoin-j7t,No one will say it is old song..,0
@atishbawa409,"Me vibing on this song 
After knowing meaning 
Shameless me still vibing on this song and I was like I don't care about meaning",0
@Kajal-hk6nh,I am obsessed this song,0
@Flix-shorts_,Vibing alone,0
@Lily.m935,I miss you BTD,0
@somebody-rj119,Damn!!,0
@varshaam8839,Its 2024 !!! Still obsessed with this songg!  ,0
@riyadhama-rk6cv,"Let it be Let it be  
Let it V Let it V  
Hold on Don't go  
Hold on jungkook  
Touching and teasing me telling me no  
Touching and jimin and telling me no ",0
@staroremy1617,"How can I forget it ,",0
@Canadx,damn that hold on jungkook really killing me now ,0
@kieuarat7254,Nghe nhạc hay và buồn này tự dưng em nghĩ về chị và rất nhớ chị rất nhiều  em vẫn cầu mong chị TG bên kia luôn được a,0
@halimhasan-7,I don't know how I liked this song,0
@srinivasbeddala86,This song until our dead time this world don't forgot this ride it,0
@Jannaty-q3y,Ride it lose control ,0
@ShahinFari,Mujhe ye thoda thoda samajh me aat hai par favourite ban gya hai ,0
@PDainiya,"Let It V ,let it V ,let it V know Hold down jungkook touching and tae jimin telling me no but this time i need to feel you ride it ",0
@MotiarRahman-h3k,The meaning of this song is killing me️,0
@M1n_Yoonji,I'm army my bias Suga  2024,0
@isfaradib8453,every english songs have dangerous lyrics ️,0
